,time,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
48,1854-01-15,279.45654,280.30957,278.47482,279.83304,279.9206,278.93378,278.2298,278.63754,280.86868,280.22058,275.61835
49,1854-02-14,278.95624,281.03748,280.32272,281.4877,279.80356,278.57535,276.26654,278.2366,279.2592,278.90366,277.2862
50,1854-03-15,281.87512,280.34464,280.49683,281.25635,280.8954,278.19925,278.4775,279.52533,281.16183,280.32068,280.04242
51,1854-04-15,279.97055,282.0163,282.5836,279.33148,282.86038,283.71472,281.03787,280.38696,281.53555,283.28415,282.72638
52,1854-05-15,285.1554,286.29416,283.93988,284.7706,284.61676,284.8148,285.6313,282.37787,284.14417,284.8453,285.00937
53,1854-06-15,288.10455,289.04916,288.07434,289.10632,289.63757,287.54578,288.22095,286.0141,288.332,288.83878,289.76633
54,1854-07-15,290.1883,290.66257,291.7468,289.69666,290.91888,289.4792,290.4518,289.99612,291.17618,290.93863,290.5346
55,1854-08-15,290.34677,290.30984,291.39496,290.6786,290.92328,290.09756,289.86673,290.28613,291.30826,290.7245,292.80588
56,1854-09-15,289.15613,290.4829,290.02118,288.1385,288.60956,288.95636,288.32895,288.84613,289.57925,288.50116,289.77502
57,1854-10-15,285.77487,287.7104,287.40997,286.20285,286.32288,286.4247,287.31815,285.31955,285.7967,286.98343,287.93954
58,1854-11-15,281.5112,283.078,281.3974,281.91147,282.51968,282.46387,283.92947,282.67984,282.37366,284.11664,284.5672
59,1854-12-15,279.56595,280.33527,279.77344,280.2935,281.60364,282.11435,280.5477,282.39297,281.821,281.53778,282.0749
60,1855-01-15,278.2255,279.52692,278.8555,280.15182,280.84686,278.7912,280.9215,277.01953,280.0067,277.6717,281.12262
61,1855-02-14,277.8124,279.48737,279.2108,279.9188,280.96915,278.58215,282.03244,278.01813,280.42532,278.16495,279.01642
62,1855-03-15,280.36765,279.5941,281.02795,280.28323,282.26016,279.34714,281.23755,281.01904,282.18845,280.1835,281.42786
63,1855-04-15,281.2966,280.29556,283.24936,283.0165,283.5093,281.61832,282.8197,283.1356,284.58698,282.90063,281.43323
64,1855-05-15,284.21634,284.01007,285.96976,284.30295,283.9748,284.82407,286.29877,285.25333,286.99377,285.80566,283.45663
65,1855-06-15,287.64133,288.34485,287.04248,287.59357,288.08228,288.5416,289.51025,288.84842,288.8573,286.723,287.1163
66,1855-07-15,289.00104,289.72137,290.62347,290.75122,290.9889,289.97736,291.11005,289.7049,290.76917,291.03397,289.69412
67,1855-08-15,289.66086,290.69672,291.58392,290.84903,290.22998,290.82336,292.25336,290.603,291.93005,290.49063,289.75485
68,1855-09-15,288.34802,287.31165,290.19937,289.13672,287.72467,288.3846,290.86298,289.44205,289.0998,289.88504,288.61926
69,1855-10-15,286.5302,285.83807,286.68887,286.90262,286.3534,285.23355,285.58624,285.89603,286.7347,287.3755,285.6649
70,1855-11-15,282.39862,281.78635,283.02936,283.1894,282.4344,281.67685,284.7633,283.32166,282.9905,284.48215,282.08026
71,1855-12-15,278.56985,281.12988,280.9603,278.61804,281.92514,278.23285,282.5734,281.63797,280.51187,281.8942,280.91385
72,1856-01-15,275.29578,279.1512,278.63925,278.9746,279.4113,279.09296,281.6466,281.06323,280.07526,280.58102,280.58142
73,1856-02-14,276.78925,280.9083,278.3581,280.88968,279.2624,280.77194,281.68042,278.83005,279.8752,281.3679,280.149
74,1856-03-15,280.04236,281.53644,280.5663,280.9774,277.8192,281.01343,281.78467,280.26477,281.41895,279.99268,280.65656
75,1856-04-15,281.4527,281.02994,282.34067,282.319,280.9496,282.26385,283.04663,283.29642,281.21472,281.71002,282.13434
76,1856-05-15,283.44852,284.10587,285.03015,285.0223,284.584,284.75018,285.42764,285.04248,284.30133,284.198,285.54977
77,1856-06-15,287.19644,288.8926,289.03473,287.1319,287.5781,289.3838,287.834,288.486,288.36993,288.96124,287.81937
78,1856-07-15,289.90726,291.15567,291.5238,288.9662,290.63208,290.4362,290.42383,291.144,291.15512,289.72287,291.8372
79,1856-08-15,290.2333,291.95184,292.3154,290.4091,290.32797,290.06924,290.9421,290.94614,290.10168,291.2449,290.54425
80,1856-09-15,288.31998,290.76617,292.93665,290.18338,289.7786,287.50104,290.35135,288.8327,290.16556,288.5018,291.62375
81,1856-10-15,287.03934,287.993,287.06876,287.035,284.96597,287.0754,287.73523,286.272,288.1102,287.2304,286.28
82,1856-11-15,280.49313,283.9079,282.80658,284.3705,281.9379,282.15466,283.1919,283.1346,283.16928,281.3689,282.37848
83,1856-12-15,278.39505,281.80728,279.28976,281.43475,281.18124,281.9199,279.50723,279.40408,279.069,281.3687,280.03592
84,1857-01-15,277.75607,278.19583,281.4005,279.85986,281.67725,280.32492,276.2367,277.99655,279.5991,279.22272,279.856
85,1857-02-14,278.2868,280.29037,278.705,277.07336,281.67987,281.80524,277.77887,273.66574,279.43817,280.4689,279.4737
86,1857-03-15,278.31485,279.4835,279.73984,280.3275,282.25116,282.24924,279.33707,278.09552,281.67465,281.324,278.0666
87,1857-04-15,281.61646,281.25266,281.40527,279.89752,282.58502,283.45703,282.86414,279.9135,283.71887,281.88452,283.17105
88,1857-05-15,285.79422,283.8463,285.12958,284.46054,285.22656,286.3111,284.94577,283.63608,286.22565,286.02023,286.35504
89,1857-06-15,288.39355,287.4203,286.64612,289.03983,289.34543,288.97873,288.67853,287.43463,287.91974,289.5515,288.99768
90,1857-07-15,290.08038,288.5649,289.07883,290.74478,290.69714,291.35464,289.57373,289.7291,290.24536,291.7633,291.26782
91,1857-08-15,289.93527,290.4986,290.7664,291.04434,289.9254,290.49905,289.59286,291.11087,290.68832,290.76736,291.04443
92,1857-09-15,288.20074,289.14874,288.58493,290.4309,287.95004,289.6754,288.70926,289.37262,289.0068,289.6128,291.74225
93,1857-10-15,284.82993,284.89337,286.45047,286.60617,285.31912,286.3413,285.8808,286.15213,284.57858,287.61722,287.3684
94,1857-11-15,280.6631,281.85242,281.71338,283.123,282.08215,283.98727,282.37033,283.6548,282.69858,283.79962,283.986
95,1857-12-15,281.6071,281.00763,276.79727,279.4062,280.07376,280.04547,280.87384,279.3062,279.62238,283.02966,281.52234
96,1858-01-15,280.2318,279.35336,278.3725,276.68323,279.7854,278.55035,277.03564,280.4917,280.0227,281.29868,279.67572
97,1858-02-14,280.75986,277.63763,276.6795,279.9909,280.8127,279.60565,277.7609,276.39642,277.8018,280.21466,275.43674
98,1858-03-15,279.4008,279.3213,277.99478,280.23337,279.98004,280.46292,281.46844,279.72684,278.6225,279.98984,279.02338
99,1858-04-15,281.68903,281.87885,280.72467,280.81653,281.81073,283.27896,282.6962,282.88193,282.5811,282.01917,282.85898
100,1858-05-15,284.596,284.9731,284.4367,284.18414,286.93588,285.0577,286.7412,283.69217,285.88922,285.9767,284.07968
101,1858-06-15,289.12152,288.35208,287.51584,287.93918,288.02927,287.5217,289.22693,288.66843,289.08847,289.16547,286.67117
102,1858-07-15,289.94427,290.4671,289.38736,287.70792,291.96884,289.85983,290.45142,291.55838,292.00537,290.31073,289.401
103,1858-08-15,290.0391,291.374,291.5942,289.21448,290.22745,290.1818,290.4748,291.33282,290.56342,290.80936,290.59702
104,1858-09-15,286.5657,288.5628,288.2114,289.17493,289.18546,289.6964,290.3769,289.9102,289.09045,290.00775,287.63834
105,1858-10-15,285.08493,285.75366,285.33948,286.3016,286.0303,286.84433,286.93152,285.9539,286.67117,286.85278,286.8491
106,1858-11-15,282.36517,283.9253,282.81747,279.7826,283.11478,283.58664,283.2928,284.15836,283.98633,284.15683,284.12122
107,1858-12-15,280.39798,279.2291,281.56833,278.66647,280.08133,281.4583,280.9538,280.7063,280.06174,280.52542,281.5406
108,1859-01-15,280.35406,278.9743,277.24536,280.03378,279.33835,280.68207,281.22803,278.91568,277.54416,279.6616,281.3311
109,1859-02-14,278.21146,276.8882,276.13144,281.17624,277.59164,279.171,278.66852,281.02524,275.9508,282.07846,280.59622
110,1859-03-15,278.72437,279.17358,279.57632,280.02863,280.56204,281.8694,279.1675,280.28494,280.44562,281.61935,281.48065
111,1859-04-15,280.11148,280.952,281.81882,281.05597,281.26602,283.36996,281.19043,282.17947,282.71774,284.6676,282.87863
112,1859-05-15,284.07074,284.0028,287.16043,284.993,284.95413,284.51614,284.36832,285.66608,284.44827,287.285,287.0463
