,time,r10i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p3f1,r5i1p1f1,r5i1p1f2,r5i1p3f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
10,1850-11-16,286.3470050987001,286.3634287091063,285.7453879473178,286.47569360832694,286.91306788528254,286.3511478704276,285.86318006292333,286.4386714618581,286.48528821081675,286.2679576816952,285.86539866862773,286.288683018252,286.5885652691362,286.05801279392483,285.675501327554,286.448866015973,286.07087491074975,285.9041649205569,286.594526692751,286.22961481640385,286.1651689797714,286.21009016646303,286.2951689311599
11,1850-12-16,285.7866951246318,285.8939853240829,285.14273322680043,285.7472624433737,286.232319962144,285.6408649726253,285.3062898440327,286.07017530332905,285.8507935491488,285.76214343403143,285.5037051529033,285.64849599394097,286.05954274503756,285.52891957703685,285.0319629118617,285.673806800157,285.6358544911766,285.4567760196643,285.89048759256474,285.49512831764764,285.5763587293113,285.71699873951525,285.6954524557362
12,1851-01-16,285.67242973934606,285.5192940634412,285.02077673531846,285.60150766309596,286.2436888481158,285.50162978922543,285.08535051649665,285.79171993249554,285.71882673368367,285.494351996308,285.53307723824804,285.5638744101539,285.77342436492097,285.64116245510894,285.3209105080544,285.39427271314236,285.4933399105311,285.65646329518836,286.0378416072385,285.60888102078974,285.48191157830524,285.5990633825377,285.6844266540331
13,1851-02-15,285.89606849618053,285.87333673940367,285.54752791335704,286.26521430033347,286.4498223634838,286.22721803952413,285.42493175592364,286.1811577782414,286.2494308610911,285.95811765791336,285.93934175513994,285.92740987836186,285.9475469475322,286.0675732669352,285.5490452386034,285.9525908526532,286.03754996894605,286.0684351030301,286.09669499158883,285.9169058548315,285.56593247744365,285.9567724712945,285.9612156789035
14,1851-03-16,286.71268443556255,286.5668876347725,286.168857851532,286.7219971604869,287.1014718964547,286.6348034369178,286.192007628394,286.928877660576,286.7297085700092,286.5464074318711,286.4000601331948,286.4438569988949,286.6035425546218,286.4914595171942,286.0404012745137,286.71382443842634,286.35863764479456,286.7180965838361,286.88493296316227,286.353175216082,286.4148213525364,286.56183411914094,286.43215984160315
15,1851-04-16,287.32374256011394,287.39504512009734,287.11829883194224,287.5654219932701,288.0001802789199,287.46869056765945,287.0017019982022,287.6076999756269,287.6689201229357,287.49033554922204,287.0664792076579,287.254287889293,287.4475447658202,287.2032594674226,286.8994085101146,287.61793490290063,287.2677875901713,287.4200582475826,287.67521122885574,287.184690985653,287.35096626939503,287.35442579653443,287.4805150038844
16,1851-05-16,288.1198927681488,288.2041361094218,287.8205054713393,288.4672097340902,288.7883115894601,288.17698264876094,287.6914191997851,288.3822040798949,288.54937254773785,288.30680460676535,287.85494212999697,288.04023328185036,288.2097232045194,287.8014979010031,287.715147852257,288.26546793527126,288.1140855901238,288.2342779218723,288.3931651533761,288.0868838669873,288.17229436707436,288.14548552647005,288.1953528660757
17,1851-06-16,288.9657144567531,288.85249329363387,288.7143039250701,289.1648686338369,289.3216166618692,288.86179943444307,288.5098110548512,289.1654725708624,289.19607933433247,288.9635263581249,288.5898963174703,288.88423932044503,288.92116798601666,288.6190082476482,288.47578275727534,288.9249769690507,288.7037467631165,288.7865513297199,288.951512655843,288.87111745696086,288.88744345025685,288.7447957209339,289.01748382696644
18,1851-07-16,289.2129476032262,289.26722870127435,288.97413880128926,289.54209322718407,289.584582449028,289.18731349816005,288.67771913259116,289.4431649795913,289.52807892225553,289.3536114755669,289.08316028521676,289.2202572934184,289.2344556394621,289.12552386144455,288.78322018247,289.51456490572525,289.10857258921465,289.23217499819873,289.25879703728873,289.25620933254044,289.1867905033667,289.1281920284286,289.31427895003156
19,1851-08-16,288.95435005517334,289.1056082247538,288.76612180359575,289.23728960409466,289.1636750075,288.98049209454587,288.56681306970086,289.18015141629064,289.18472795120925,289.21143923321523,288.9275367568631,288.8958426866826,288.8954643030691,288.86211753934055,288.66633156498676,289.2798087759519,288.81279891599735,288.9108124456929,289.03019523092973,288.98411341848924,289.03043753492403,288.84195617882324,289.00416991045176
20,1851-09-16,288.1920882983025,288.33450269447377,288.0968377349456,288.3797002095174,288.4170453096973,288.2544736090335,287.67822342970544,288.4864395297197,288.5336551795152,288.30716443424495,288.08372724498616,288.26516415860993,288.2495993538394,288.16602143692523,287.9459523216584,288.56956000735534,288.0199090744968,288.10160363319676,288.34778414356606,288.2269352509694,288.24462954182104,288.11316870833434,288.3800268943333
21,1851-10-16,287.132556758885,287.25323740364416,286.92117501105713,287.4284906199465,287.46723550572693,287.1301553540392,286.5536012723225,287.5527202308207,287.6038765733833,287.378749804778,286.8700607173916,287.26427975357757,287.18720804388164,287.0354973415672,286.78099552571075,287.5321907927355,287.1527589079043,286.94596532442375,287.1856244398514,287.00274045122796,287.1051033913095,287.03829365209634,287.22708174154934
22,1851-11-16,286.1686127645209,286.3161572826211,285.94085768431177,286.47288206953016,286.4445377349297,286.14549593250564,285.83358577315204,286.33795149289534,286.65572175758746,286.28484498105274,285.98870477271936,286.45287006155297,286.3720751018426,286.1411825413625,285.91284948892627,286.49743485672815,286.0859806487089,285.9927247311408,286.1890754888203,286.2103591775836,286.24259892420815,286.05975094161676,286.35259345953614
23,1851-12-16,285.5121144205572,285.77809110418497,285.44267095687695,285.8620166804077,285.71848349013374,285.53301109466327,284.9492450074222,286.0689814928462,286.2906541350149,285.4488962561298,285.35343208616695,285.96859991120385,285.8517187618578,285.608173683176,285.4416300741209,285.7682907231848,285.35828131249747,285.41924878047246,285.6298640030858,285.22612920944385,285.62905079891146,285.50864356738447,285.85193313836896
24,1852-01-16,285.3702928687571,285.7010516499916,285.6104869133463,285.756203326976,285.81192669229534,285.765922702237,284.94287659468483,285.98899149300877,285.9655674745804,285.5612373213473,285.1957740717642,285.8846996455171,285.61714268905456,285.51346272804875,285.34334196315086,285.796623186084,285.25226345775167,285.3105043552381,285.700336107976,285.54110440890304,285.8349894588483,285.2238095109764,285.86713329330667
25,1852-02-15,285.8088218798422,285.92372235057184,285.82301924656406,285.93946945621246,285.92579935336346,285.79691931466186,285.56203996517263,286.37107368260314,286.4810523580731,286.12052149001454,285.5565923269779,286.0994679195909,285.8062142969072,285.95048087243725,285.73487497890454,285.92067473003715,285.7800083757815,285.6297647922309,286.05608606697086,286.0918758232876,285.9681630396972,285.7147306814112,285.94861767040913
26,1852-03-16,286.40149129014924,286.70497450485414,286.3423920538547,286.6199457570023,286.5957865615006,286.58764147196354,286.0532029680028,286.9725350050689,286.9734721534957,286.6048602569363,286.2802441853693,286.7003240345669,286.7788721025515,286.5357199390278,286.58398146385053,286.62806806275046,286.3295880697306,286.2070928849694,286.751294278884,286.38608792660386,286.63057762105444,286.3137346443299,286.4776399362804
27,1852-04-16,287.08974927164223,287.4471773106479,287.06909798119693,287.37066253236395,287.5571675115723,287.28256253138227,286.96614898152166,287.5585845147506,287.69180384862864,287.2564913886579,287.11103044510446,287.4868614765565,287.3163684726021,287.17242775641296,287.1782830607136,287.3393672391045,287.19860943151485,287.07975626824884,287.4727398102281,287.2219127439696,287.1822206623669,287.21290755346286,287.4625166975545
28,1852-05-16,287.98499113771993,288.29018844229233,287.7525609133859,288.1852808994093,288.2773959591501,288.15940483471144,287.6821705734178,288.4328711672941,288.6170491939983,288.03813881753837,287.68208639015853,288.49072833160875,288.09718035599883,288.06749392460347,287.99684265376686,288.23159521400385,287.95081737379456,287.69940275620866,288.20547781462085,288.1785590202789,287.98255199865315,287.97502351913363,288.11894816967754
29,1852-06-16,288.82809892925377,289.0238025085793,288.53139373716505,288.89498786384826,289.0944654407907,288.86893568874456,288.3567908010325,289.23105727127887,289.2876118198918,288.7374416290493,288.3482901457619,289.08162794110984,288.7368506237146,288.8019438720203,288.62846458186243,289.133026185986,288.72076579202457,288.39248325051136,288.8642247196354,288.97795528120764,288.7970711975093,288.634256807306,288.8800096250535
30,1852-07-16,288.9726279403565,289.42640015410535,288.85053959740264,289.3086928138256,289.2976510711162,289.1084507663531,288.8187282082005,289.4555161149267,289.60272389544997,289.0687450448312,288.84291959837725,289.42471016224493,289.24603920711024,289.0863183798327,289.0817044152886,289.4568848752821,289.02851482761184,288.6532783148238,289.28161788303635,289.19901855480776,289.0421575894023,288.96059896439,289.25292466589036
31,1852-08-16,288.72110462255057,289.13109642984085,288.65001775162307,289.2209543582606,288.9384033496147,288.92458462306587,288.46789767857456,289.224804081848,289.2216945113449,289.15015463461737,288.6278431237933,289.04812518590757,288.9517157406093,288.9142076648327,288.787739410644,289.152478769784,288.9627979649577,288.4673553585624,289.0179491798378,288.87363581192784,288.8287054005409,288.7753619971846,289.09177555976527
