,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f3,r6i1p1f3,r7i1p1f3,r8i1p1f2,r9i1p1f2
16,1851-05-16,287.30079828716805,287.20772887687644,287.48126264059454,287.28422108096515,287.55118677001303,287.2528716344638,287.82011994722404,287.2184259777304,287.0608264893032,287.3692348545154,287.6148148089989,287.2878786580022,287.1261947678316,287.3233350570557,287.13982190495767,287.3145145264061
17,1851-06-16,288.17857158762,287.97820331018545,288.11927298892806,288.01507105742223,288.2144262748529,288.147878529796,288.5029909468624,288.14762852045004,287.8971189524864,288.2086339779314,288.3545298010127,288.0616949797473,287.94733541755926,288.22580040032443,287.9329043748657,288.1207930673367
18,1851-07-16,288.53779419536613,288.2828216751992,288.62151750781004,288.5694806700764,288.75236165952526,288.4893382490931,289.07545259927684,288.6465497151041,288.3647865219114,288.6210332730448,288.83711771938215,288.5886264170399,288.5337944824995,288.80775337511085,288.4770323786885,288.65509191278727
19,1851-08-16,288.51077346239924,288.36228343872693,288.63566827938735,288.47766853031317,288.7957370468628,288.62763508706104,288.914078255442,288.584100422976,288.4253933297455,288.4392265093563,288.7885627159758,288.546551180426,288.4506770204514,288.6295384762606,288.47712944740283,288.6078829585395
20,1851-09-16,287.87314884670445,287.6515331228924,288.0813073133159,287.75886377499535,288.13212933143467,287.8672214497112,288.1812137767936,287.9156899696737,287.65194966354187,287.7416487131645,288.09746831806905,287.95123003392064,287.8175756742057,288.1634302083349,287.675244817294,288.05981706371165
21,1851-10-16,286.6934886650982,286.7226254013435,286.8144606360628,286.9319351607579,287.0703216999162,287.0078463163848,287.17075339012445,286.87319367932776,286.44611035277484,286.8785070185143,287.04907214822043,286.86234765943175,286.54994707574343,287.04188443144756,286.6718376070112,287.12068036199764
22,1851-11-16,285.72741960766734,285.6559122079711,285.6425799366785,285.5991383945057,285.88049016192804,285.8150223563177,286.05747244309043,285.452897743258,285.19335094844905,285.6378060447747,285.8408864814415,285.5926575443369,285.43021724412716,285.97375777349987,285.4271803914293,285.8229884857745
23,1851-12-16,284.6901913640139,284.5996528577807,284.74305982672456,284.6315334492861,285.06045669798385,284.8136903133119,284.87615972625497,284.59804711039357,284.4232956248462,284.6723579216372,284.8774313220741,284.5788464834349,284.34330105957235,284.96985895636465,284.5969486531203,284.927186345979
24,1852-01-16,284.19783173574325,284.13910734541025,284.2297351535898,284.145833938046,284.369205354297,284.1596512790144,284.4039360724688,284.2405016090496,283.9353950032268,284.36378464382534,284.5558445449578,284.0912402096258,284.26245245940794,284.34928414178,284.04563491673804,284.4849988813279
25,1852-02-16,284.3613019538059,284.57702750880566,284.2684040261947,284.32246100881355,284.54399647991653,284.4272626397623,284.56951989288945,284.46750966052394,284.3227962050234,284.4890694462623,284.93304991082226,284.5298573726365,284.46184282841256,284.84128502391417,284.4705810817363,284.6628894167038
26,1852-03-16,285.2547936117051,285.29260346983585,285.110456510962,285.09292012074974,285.4630451636972,285.17995691527796,285.38577006515766,285.34882066878515,285.03197533299095,285.2731047609594,285.74254763173474,285.2440289069903,285.2339965928857,285.4885346122333,285.0285863455694,285.58587533681964
27,1852-04-16,286.3323749975391,286.2952655575419,286.3482380497398,286.0958028786738,286.47395861755336,286.2993152739843,286.4702088162115,286.4077776993473,286.1612874960436,286.4552100460583,286.653291746714,286.27333220766894,286.34102491070814,286.62877323340996,286.08896126833974,286.46032166424203
28,1852-05-16,287.3508352921289,287.2534274105099,287.35080257925983,287.1295412758292,287.35429748776306,287.2167068139574,287.4388631887114,287.38579163284186,287.25643603875477,287.4318516802513,287.4915021507507,287.3017249745305,287.2709047617316,287.62881741923053,287.06830056569123,287.4541845615684
29,1852-06-16,288.2525640693672,288.00313608743943,288.12482313577544,288.0329115020732,288.1040847939207,287.9006265615416,288.1839881209899,288.15825809330926,288.0143200108813,288.2717565208511,288.39181338092703,287.9601463319016,288.0239459525161,288.23459580770077,287.84122509251216,288.20564054826156
30,1852-07-16,288.7294028578657,288.3388537379469,288.54451064493276,288.4974314064228,288.8219453497207,288.5044255787259,288.6460712393818,288.6722536712763,288.41818785922965,288.86415135383817,288.9907393923247,288.5018772704128,288.5617345532924,288.8079709154706,288.4155780311104,288.7464615064308
31,1852-08-16,288.6140253130097,288.3589998443372,288.52691920192484,288.5016579628291,288.7929703619677,288.4254224190764,288.5939418148736,288.62893677171974,288.3814340384813,288.7147326525027,288.85435838069185,288.3600718202205,288.3989229690015,288.81272395522655,288.47625763085375,288.63804253804693
32,1852-09-16,288.14856413296025,287.68996372519814,287.78482824178616,287.9200760580763,288.0489699600571,287.75373257964094,288.04437612190594,287.97609211452834,287.7507881187196,288.1017245771624,288.2317899531502,287.7000723244955,287.74795095161755,288.08673964899316,287.8214515485897,288.0042339747047
33,1852-10-16,287.02843630860264,286.632886815629,286.83368696289625,286.7414214894835,287.0104748687725,286.95702207868857,286.9755845227043,287.01652781453475,286.80419091556996,287.0071794207743,287.32063508621746,286.57934843454467,286.66338444025865,287.12738002112127,286.7397638081341,287.06736123921473
34,1852-11-16,285.6420995412463,285.32282513398155,285.35785616228685,285.69012675869755,285.7505611242785,285.62869957840593,285.69633052993987,285.7474113307475,285.5397140493328,285.91149749114453,286.1676141564581,285.5581918868311,285.5854696512801,286.01051051036796,285.6824617977395,285.7570482846947
35,1852-12-16,284.65772567354736,284.31077046551655,284.379380720137,284.46744124386333,284.9881273752415,284.5490830546094,284.8244081065893,284.9434433809508,284.66040132538876,284.87576040519093,285.29412620798297,284.70239015672513,284.57971665218906,284.89077580141316,284.6227698366878,284.72415632173033
36,1853-01-16,284.3843247846134,283.84025829603127,284.0391077286829,284.2488844294562,284.5749578895913,284.28734274808386,284.56881255606504,284.21683944325866,284.20667646381105,284.5591451322823,284.9314253432803,284.35276140608244,284.11488214086324,284.62180606164884,284.46655803557445,284.64055649974244
37,1853-02-16,284.625596829741,284.28360299891267,284.3580180201756,284.22634005604505,284.67211942446284,284.7370816205819,284.4515643797679,284.70626713680315,284.32790629782465,284.60566506154123,285.1373925292808,284.3679834584544,284.5852079327092,284.93561562087143,284.5261457395149,284.6594671189615
38,1853-03-16,285.3774352046591,285.03335197279426,285.26620679556413,285.13149048135415,285.6029420155188,285.35364619526996,285.24186525567654,285.34429982103865,285.1067752938375,285.6380733679579,285.9736433808054,285.21189402095166,285.1189237559192,285.5590879981193,285.1653656332856,285.2276935214459
39,1853-04-16,286.5090216970977,286.1068259133824,286.1265121357726,286.1668049978359,286.4516629880717,286.2610232310287,286.5432317450887,286.5380506090831,286.35669702049455,286.5831833668485,286.9939526736712,286.18863399029783,286.2122647310852,286.5235771941138,286.2832908734871,286.26207369564895
40,1853-05-16,287.44357929532794,287.03585899260685,287.1595597805663,287.19402689915165,287.55637746076326,287.2567801910883,287.4171606564429,287.55555919321125,287.33204062086287,287.44294333939365,287.8611667547708,287.04978636119574,287.0883761488188,287.54643540736197,287.26804412949036,287.3841215086832
41,1853-06-16,288.3000299707742,287.88680382811043,287.9163186079076,287.9176005297728,288.2064539563741,288.0405290772159,288.1571012931019,288.0661794001251,288.0724985664545,288.22241780576564,288.6822831381729,287.78896142292757,288.0319177427201,288.32383902210626,288.03710920854513,288.2527621162521
42,1853-07-16,288.72987126988613,288.4225096430166,288.4434718528339,288.42167182209784,288.78317684943585,288.50823462952314,288.7787624555881,288.5972448094472,288.60460322086976,288.72823280534965,289.1651734941524,288.366388397066,288.6194965126517,288.71972315492246,288.4347363349815,288.64481698598405
43,1853-08-16,288.62413634092474,288.27571720888636,288.4168221123837,288.3423648295871,288.89350435649146,288.4745138107094,288.6005372348504,288.7675359029768,288.56626558574277,288.7546987137669,288.9498896389225,288.3980605494202,288.3837342833156,288.7738756703583,288.4414490068064,288.6061142716309
44,1853-09-16,287.92563291744324,287.5796356533967,287.74858194748566,287.82332210232755,288.17654788010367,287.8797149811583,288.0836293595606,288.0812273686229,287.95651234923304,288.0485183207232,288.358203503936,287.72346364097444,287.8586095366622,287.99785080770874,287.8463372118677,288.038769187759
