,model,mean_mean,mean_sd,sd_mean,sd_sd
0,CESM,283.5380728809589,4.084929925302228,2.4704281071093406,0.6004423305980111
1,CANESM,283.5434148744658,4.282463385353699,3.1093875349454625,0.5693134067460064
2,CSIRO,282.0754254977169,4.789545346906696,2.7717904289122637,0.5318100120510997
3,GFDL_esm2m,282.2982070228311,4.104265676045358,2.070553815036661,0.45273806819777307
4,ECEARTH,281.96591418784243,4.364347021210333,2.340883157312483,0.599212631521319
