,time,r1i1p2f1,r2i1p2f1,r3i1p2f1
132,2026-01-16,280.0995,281.16376,279.98572
133,2026-02-15,278.33652,279.42334,280.22516
134,2026-03-16,280.32034,280.67526,281.7815
135,2026-04-16,282.70728,281.89743,282.51447
136,2026-05-16,283.96274,283.76562,283.98105
137,2026-06-16,287.6459,288.83194,288.69666
138,2026-07-16,292.24976,290.07516,289.05402
139,2026-08-16,293.14783,291.2405,292.68976
140,2026-09-16,291.83823,289.51535,291.3747
141,2026-10-16,287.30453,288.55978,287.08057
142,2026-11-16,283.4645,283.54642,282.76407
143,2026-12-16,280.69168,280.90012,280.7769
144,2027-01-16,279.17133,278.99777,279.71094
145,2027-02-15,277.0926,279.4915,279.8027
146,2027-03-16,279.09146,279.19476,278.2277
147,2027-04-16,281.4001,281.37604,282.15857
148,2027-05-16,287.04327,283.63507,287.4113
149,2027-06-16,289.50113,288.76263,289.4805
150,2027-07-16,290.49606,291.51007,294.38345
151,2027-08-16,292.0916,291.96423,293.3794
152,2027-09-16,289.69653,290.4505,290.01413
153,2027-10-16,285.89786,288.34674,287.6124
154,2027-11-16,284.25775,283.371,283.58646
155,2027-12-16,282.22134,280.04837,281.01743
156,2028-01-16,279.63132,280.87772,278.7099
157,2028-02-15,279.59033,278.62885,278.8588
158,2028-03-16,280.51874,280.27005,280.68445
159,2028-04-16,280.9741,281.70755,281.50507
160,2028-05-16,285.84158,285.804,285.83807
161,2028-06-16,287.02417,289.55826,287.0934
162,2028-07-16,290.13437,291.12924,291.3821
163,2028-08-16,291.67975,292.57843,291.34244
164,2028-09-16,290.19302,290.18048,290.35013
165,2028-10-16,287.19522,286.98886,285.67062
166,2028-11-16,284.28525,283.62665,282.78268
167,2028-12-16,280.7341,280.82196,281.57535
168,2029-01-16,279.45557,279.7844,280.71014
169,2029-02-15,279.75122,279.43655,279.24194
170,2029-03-16,278.5644,280.57205,282.35446
171,2029-04-16,282.17288,282.43607,282.2776
172,2029-05-16,285.6266,284.3516,285.18503
173,2029-06-16,288.95413,288.85007,288.05652
174,2029-07-16,291.0009,290.30457,292.55814
175,2029-08-16,292.0853,292.48907,291.94772
176,2029-09-16,289.61212,290.6649,289.29977
177,2029-10-16,286.84613,286.53867,287.0229
178,2029-11-16,283.17755,283.5933,284.16876
179,2029-12-16,282.40674,281.7883,281.85858
