,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
132,2026-01-16,282.16504,277.8939,279.36365
133,2026-02-15,280.81003,279.50107,280.16113
134,2026-03-16,281.22528,281.51678,281.3575
135,2026-04-16,283.51596,284.0758,283.3156
136,2026-05-16,286.03488,287.41464,286.23218
137,2026-06-16,291.34552,289.456,289.3514
138,2026-07-16,292.82678,293.73685,292.2153
139,2026-08-16,294.79858,292.46555,293.01627
140,2026-09-16,292.14798,290.94067,290.29037
141,2026-10-16,288.0656,287.33353,286.93472
142,2026-11-16,282.9722,282.7847,282.41208
143,2026-12-16,280.4765,279.8289,281.49646
144,2027-01-16,277.93912,279.53824,281.66937
145,2027-02-15,279.52072,281.77313,281.5415
146,2027-03-16,281.00378,280.88525,282.5127
147,2027-04-16,283.17484,283.51624,282.72864
148,2027-05-16,285.7201,287.23093,285.0306
149,2027-06-16,288.4861,291.2893,288.17538
150,2027-07-16,291.7697,292.96924,291.18903
151,2027-08-16,292.44333,294.60617,291.5026
152,2027-09-16,292.32538,291.07803,290.56784
153,2027-10-16,288.88678,287.25464,287.69315
154,2027-11-16,284.20212,282.92892,282.60187
155,2027-12-16,282.34354,280.88385,281.03415
156,2028-01-16,280.23328,280.81165,279.75455
157,2028-02-15,280.68365,282.2216,277.8028
158,2028-03-16,281.21805,283.16095,279.08868
159,2028-04-16,284.16028,283.09665,282.8324
160,2028-05-16,286.90982,287.70807,287.08337
161,2028-06-16,289.97998,289.4894,289.39005
162,2028-07-16,292.98135,293.1518,293.62762
163,2028-08-16,292.90646,293.70325,293.72244
164,2028-09-16,290.37875,290.1495,290.28143
165,2028-10-16,286.94186,287.2403,287.43115
166,2028-11-16,283.02948,282.3206,282.00513
167,2028-12-16,279.14548,282.04724,280.90875
168,2029-01-16,282.6165,281.14355,280.9874
169,2029-02-15,280.05746,280.65378,277.91425
170,2029-03-16,281.90964,282.09708,280.47525
171,2029-04-16,284.1869,282.5187,282.05814
172,2029-05-16,286.21088,285.2486,285.7101
173,2029-06-16,290.29437,289.5908,288.20364
174,2029-07-16,292.96152,292.9667,291.56378
175,2029-08-16,293.8444,294.39362,291.73477
176,2029-09-16,292.2596,291.0755,290.31097
177,2029-10-16,287.98813,286.62805,287.65732
178,2029-11-16,282.6722,284.48514,283.567
