,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
81,2021-10-16,286.2954,287.02533,286.3401,286.17194,286.11905
82,2021-11-16,282.98785,283.7963,280.78873,282.31375,281.04504
83,2021-12-16,279.05966,278.584,280.3823,280.13293,276.71793
84,2022-01-16,278.4816,276.03735,277.6887,277.90753,280.01077
85,2022-02-15,277.21774,276.2536,278.83856,278.34927,278.51456
86,2022-03-16,279.67712,278.79453,279.97766,280.69403,281.1091
87,2022-04-16,283.16736,280.45248,281.11548,284.65268,281.39624
88,2022-05-16,288.53705,284.8012,283.36853,286.5622,284.6827
89,2022-06-16,292.29922,289.38156,289.46277,288.95102,292.0282
90,2022-07-16,293.84302,294.41165,295.75488,294.7034,292.69928
91,2022-08-16,293.569,293.51926,294.9483,292.48602,293.75238
92,2022-09-16,290.17706,289.7584,291.0486,289.01245,291.12726
93,2022-10-16,286.0764,286.19376,286.88187,285.9363,287.23526
94,2022-11-16,283.12564,281.46088,282.76736,282.8084,282.1823
95,2022-12-16,280.59656,280.69202,278.48483,281.12088,279.90015
96,2023-01-16,279.8529,280.2553,278.64087,277.87576,277.6674
97,2023-02-15,278.48517,278.0952,279.1989,278.99603,278.9357
98,2023-03-16,279.87637,278.015,278.0777,278.91974,280.17935
99,2023-04-16,282.04123,279.74902,283.32654,281.76007,281.32318
100,2023-05-16,286.94998,285.03738,284.44092,285.818,287.03748
101,2023-06-16,291.9719,290.76712,289.80258,291.5721,291.4827
102,2023-07-16,293.57886,292.5979,296.11932,291.88974,297.55975
103,2023-08-16,296.44354,294.812,293.77466,292.59558,294.90912
104,2023-09-16,291.2624,291.34943,290.36105,290.3411,292.5642
105,2023-10-16,286.53397,285.67368,287.36038,285.06204,288.01218
106,2023-11-16,283.91437,283.0406,283.9987,283.77228,283.95615
107,2023-12-16,279.48114,278.80374,281.0342,281.0717,281.58383
108,2024-01-16,278.0554,277.69965,278.465,278.18317,275.24997
109,2024-02-15,276.45786,278.81613,275.33734,279.54404,277.96857
110,2024-03-16,279.7519,278.92624,278.21863,280.71564,280.94073
111,2024-04-16,283.55988,281.44177,280.5181,282.98813,283.48636
112,2024-05-16,287.83752,284.24527,283.59344,285.97424,285.29514
113,2024-06-16,289.9294,289.439,288.6084,287.36218,290.66843
114,2024-07-16,293.23367,293.4437,291.22983,294.6153,295.6505
115,2024-08-16,294.81973,293.4681,292.57553,293.57065,296.04535
116,2024-09-16,290.01202,291.3303,289.08185,289.9608,290.0394
117,2024-10-16,284.6469,286.2141,287.50607,286.6857,287.75885
118,2024-11-16,281.31427,282.45465,279.7507,280.08368,283.7257
119,2024-12-16,281.64633,279.1585,280.1324,280.17633,281.3875
120,2025-01-16,278.84372,280.93643,278.06387,279.14056,278.62177
121,2025-02-15,278.93958,281.51172,277.11133,277.30392,280.00378
122,2025-03-16,280.26978,280.0343,276.88614,279.34286,280.96387
123,2025-04-16,282.27335,281.88464,279.7557,280.84943,282.80963
124,2025-05-16,287.54712,286.22247,286.24265,285.4009,283.8386
125,2025-06-16,292.16397,288.87518,289.76395,288.85645,292.83743
126,2025-07-16,293.9165,294.36752,294.08282,293.13596,295.3426
127,2025-08-16,293.8014,294.23798,294.98782,294.27454,294.24463
128,2025-09-16,290.56268,291.29926,288.69232,288.94324,293.5117
129,2025-10-16,286.26532,286.89185,286.5798,286.78033,287.24774
130,2025-11-16,283.7452,283.7533,284.57465,282.8739,284.34018
131,2025-12-16,281.19397,277.21484,278.0689,279.6826,280.07254
132,2026-01-16,279.8815,278.7103,280.61328,278.2919,278.48492
133,2026-02-15,278.40378,280.3607,279.45575,280.5037,277.7556
134,2026-03-16,276.8155,280.36072,279.89294,278.06662,280.7302
135,2026-04-16,279.8909,283.45786,281.69077,280.81924,283.8652
136,2026-05-16,286.0388,288.36276,286.3721,285.2901,287.18243
137,2026-06-16,290.89273,291.2917,291.91058,290.18115,291.75497
138,2026-07-16,293.71213,294.81195,295.13223,295.39737,293.0049
139,2026-08-16,295.58286,294.18015,293.76788,294.8189,294.20667
140,2026-09-16,289.89856,290.07343,289.80984,290.63644,291.22452
141,2026-10-16,286.325,284.5171,284.16736,284.79626,286.2417
142,2026-11-16,284.09128,283.7696,282.64304,283.29623,281.29153
143,2026-12-16,281.92264,282.1992,281.69318,279.43536,281.0918
144,2027-01-16,280.93915,278.90057,277.2446,279.3062,280.87732
145,2027-02-15,278.76617,280.63675,280.04633,277.24316,280.32202
146,2027-03-16,280.12527,279.51688,282.3426,279.27844,279.3759
147,2027-04-16,282.1193,281.74988,281.62173,282.00797,280.50967
148,2027-05-16,286.69434,288.55704,285.69672,284.92734,284.1499
149,2027-06-16,292.50873,290.7767,290.9523,289.13242,290.7602
150,2027-07-16,294.8617,292.54337,293.99792,294.2086,295.8857
151,2027-08-16,293.687,295.86542,296.7524,295.08765,295.5792
152,2027-09-16,291.2951,289.15884,291.14603,290.88208,291.4015
153,2027-10-16,287.03867,286.18106,286.43524,286.55618,286.48016
154,2027-11-16,281.44357,283.36707,282.1189,282.4161,283.82755
155,2027-12-16,279.7885,280.1811,278.84888,280.6167,280.55997
156,2028-01-16,279.59335,277.5402,277.2341,278.72995,279.65585
157,2028-02-15,280.4302,279.4818,277.32596,279.31235,278.62302
158,2028-03-16,280.25473,278.3804,280.44748,279.71912,280.09668
159,2028-04-16,282.17892,282.83548,282.40536,283.084,282.20935
160,2028-05-16,285.53467,285.93176,290.18784,288.3981,287.2157
161,2028-06-16,292.49445,293.26587,294.3581,292.79333,292.0401
162,2028-07-16,293.7271,293.64682,294.92987,294.22342,295.42868
163,2028-08-16,292.43103,294.45166,291.95242,295.09973,296.0465
164,2028-09-16,290.7314,291.18988,289.1008,289.96866,292.0028
165,2028-10-16,285.50052,287.32462,285.61432,285.74927,287.72845
166,2028-11-16,283.38852,283.05322,283.27896,280.58084,284.4633
167,2028-12-16,279.17688,281.3304,276.85745,278.31482,281.14996
168,2029-01-16,279.811,280.04047,277.7877,277.79227,281.12106
169,2029-02-15,277.60037,278.39874,275.85632,279.25458,279.78278
170,2029-03-16,279.3244,280.52856,278.96072,278.77103,281.53012
171,2029-04-16,280.45532,283.0563,279.3973,283.261,283.1483
172,2029-05-16,285.3875,283.90228,285.1642,288.1362,285.59982
173,2029-06-16,291.77493,293.25995,287.70682,292.29227,289.18387
174,2029-07-16,296.01642,293.781,294.90134,294.05646,292.94922
175,2029-08-16,294.62988,293.90216,294.8607,294.5894,293.57935
176,2029-09-16,291.69296,289.49503,289.80945,291.08368,290.30664
177,2029-10-16,284.81393,286.6028,285.92313,286.9631,286.53647
178,2029-11-16,282.19885,280.80115,280.82047,282.33502,281.78107
179,2029-12-16,282.16882,279.94507,280.55652,279.15326,280.32227
180,2030-01-16,279.0039,280.44562,279.27246,278.85712,279.78195
181,2030-02-15,278.71332,280.17538,277.58606,280.68835,278.26627
