,time,r1i1p1f1
228,2034-01-16,279.839
229,2034-02-15,280.6845
230,2034-03-16,282.88605
231,2034-04-16,284.6839
232,2034-05-16,286.91183
233,2034-06-16,289.72604
234,2034-07-16,292.22415
235,2034-08-16,291.8271
236,2034-09-16,290.6074
237,2034-10-16,289.58545
238,2034-11-16,283.33463
239,2034-12-16,281.1008
240,2035-01-16,278.67084
241,2035-02-15,280.44016
242,2035-03-16,281.9914
243,2035-04-16,283.6501
244,2035-05-16,286.08987
245,2035-06-16,289.6413
246,2035-07-16,291.56348
247,2035-08-16,292.36465
248,2035-09-16,290.32724
249,2035-10-16,287.37228
250,2035-11-16,283.01782
251,2035-12-16,282.18607
252,2036-01-16,279.8409
253,2036-02-15,278.9672
254,2036-03-16,281.30603
255,2036-04-16,282.33444
256,2036-05-16,285.94366
257,2036-06-16,289.4146
258,2036-07-16,290.6587
259,2036-08-16,292.88623
260,2036-09-16,290.428
261,2036-10-16,286.69376
262,2036-11-16,281.93814
263,2036-12-16,281.1402
264,2037-01-16,280.58328
265,2037-02-15,280.71844
266,2037-03-16,281.42917
267,2037-04-16,282.84464
268,2037-05-16,284.3829
269,2037-06-16,288.83167
270,2037-07-16,290.3126
271,2037-08-16,291.93427
272,2037-09-16,289.27737
273,2037-10-16,286.76547
274,2037-11-16,283.15076
275,2037-12-16,280.85852
276,2038-01-16,280.4386
277,2038-02-15,280.9479
278,2038-03-16,281.38626
279,2038-04-16,283.48615
280,2038-05-16,286.8579
281,2038-06-16,287.52478
282,2038-07-16,290.77374
283,2038-08-16,290.95456
284,2038-09-16,289.93112
285,2038-10-16,286.2159
286,2038-11-16,282.90814
287,2038-12-16,279.90295
288,2039-01-16,279.507
289,2039-02-15,277.91412
290,2039-03-16,281.5005
291,2039-04-16,285.40305
292,2039-05-16,285.22958
293,2039-06-16,289.06726
294,2039-07-16,291.12622
295,2039-08-16,290.4506
296,2039-09-16,289.8443
297,2039-10-16,285.4476
298,2039-11-16,283.2747
299,2039-12-16,280.86005
300,2040-01-16,280.15894
301,2040-02-15,280.7765
302,2040-03-16,281.6286
303,2040-04-16,282.7085
304,2040-05-16,286.14532
305,2040-06-16,289.6476
306,2040-07-16,292.15448
307,2040-08-16,291.62717
308,2040-09-16,289.64435
309,2040-10-16,286.2094
310,2040-11-16,280.811
311,2040-12-16,281.67096
312,2041-01-16,278.99655
313,2041-02-15,279.39337
314,2041-03-16,280.38272
315,2041-04-16,282.8911
316,2041-05-16,285.19177
317,2041-06-16,289.05844
318,2041-07-16,289.9763
319,2041-08-16,291.67114
320,2041-09-16,290.92902
321,2041-10-16,286.92316
322,2041-11-16,285.21237
323,2041-12-16,282.07404
324,2042-01-16,281.0327
325,2042-02-15,281.6055
326,2042-03-16,282.0508
327,2042-04-16,285.18744
328,2042-05-16,286.23776
329,2042-06-16,289.0206
330,2042-07-16,291.29474
331,2042-08-16,292.81207
332,2042-09-16,290.8787
333,2042-10-16,288.3606
334,2042-11-16,283.8794
335,2042-12-16,281.78687
336,2043-01-16,280.91968
337,2043-02-15,281.5293
338,2043-03-16,281.57394
339,2043-04-16,281.86978
340,2043-05-16,286.1998
341,2043-06-16,287.3381
342,2043-07-16,289.74673
343,2043-08-16,290.53098
344,2043-09-16,290.99017
345,2043-10-16,287.38455
346,2043-11-16,281.9524
347,2043-12-16,279.89703
348,2044-01-16,281.29575
349,2044-02-15,279.4579
350,2044-03-16,281.38153
351,2044-04-16,283.50314
352,2044-05-16,285.51498
353,2044-06-16,291.33414
354,2044-07-16,291.29636
355,2044-08-16,294.2394
356,2044-09-16,289.81
357,2044-10-16,286.92282
358,2044-11-16,283.50314
359,2044-12-16,280.78107
360,2045-01-16,280.42657
361,2045-02-15,279.3069
362,2045-03-16,281.19547
363,2045-04-16,283.87823
364,2045-05-16,285.38702
365,2045-06-16,288.7759
366,2045-07-16,290.28046
367,2045-08-16,291.01508
368,2045-09-16,289.3303
369,2045-10-16,285.6454
370,2045-11-16,284.93094
371,2045-12-16,281.83463
372,2046-01-16,279.77557
373,2046-02-15,279.36398
374,2046-03-16,281.64862
375,2046-04-16,281.98224
376,2046-05-16,285.96674
377,2046-06-16,289.02792
378,2046-07-16,290.6084
379,2046-08-16,290.2317
380,2046-09-16,290.4179
381,2046-10-16,286.01526
382,2046-11-16,283.41733
383,2046-12-16,281.69785
384,2047-01-16,279.53513
385,2047-02-15,280.66675
386,2047-03-16,281.23334
387,2047-04-16,282.66455
388,2047-05-16,284.615
389,2047-06-16,287.80844
390,2047-07-16,292.17303
391,2047-08-16,289.5933
392,2047-09-16,288.5575
393,2047-10-16,286.01834
394,2047-11-16,283.25443
395,2047-12-16,281.2555
396,2048-01-16,281.17105
397,2048-02-15,280.9374
398,2048-03-16,281.1075
399,2048-04-16,284.76553
400,2048-05-16,284.27585
401,2048-06-16,289.21555
402,2048-07-16,290.35547
403,2048-08-16,292.84802
404,2048-09-16,288.64075
405,2048-10-16,287.82974
406,2048-11-16,285.27457
407,2048-12-16,280.89133
408,2049-01-16,282.1427
409,2049-02-15,281.39438
410,2049-03-16,282.1346
411,2049-04-16,283.37753
412,2049-05-16,285.04782
413,2049-06-16,289.04816
414,2049-07-16,290.12354
415,2049-08-16,291.72125
416,2049-09-16,290.09427
417,2049-10-16,286.22156
418,2049-11-16,284.62158
419,2049-12-16,282.43433
420,2050-01-16,280.82712
421,2050-02-15,282.4537
422,2050-03-16,281.2474
423,2050-04-16,281.63577
424,2050-05-16,285.88846
425,2050-06-16,288.78003
426,2050-07-16,290.543
427,2050-08-16,291.55994
428,2050-09-16,290.49164
429,2050-10-16,286.0125
