,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
92,2022-09-16,289.3135,291.58298,290.20926,289.19467,289.4745
93,2022-10-16,287.3198,286.84082,287.95764,286.22104,286.32712
94,2022-11-16,283.1641,281.6389,283.52777,281.85944,282.76288
95,2022-12-16,280.77264,281.65598,282.7765,281.84058,279.63623
96,2023-01-16,280.94467,280.5774,282.231,278.4685,279.9503
97,2023-02-15,281.77368,281.55154,281.85086,281.1265,278.55695
98,2023-03-16,282.26544,281.9536,282.43677,279.74536,280.06647
99,2023-04-16,282.07425,281.13904,284.04547,281.95374,280.86838
100,2023-05-16,286.1174,284.50906,287.80856,285.0674,285.051
101,2023-06-16,290.19766,288.91418,292.729,289.00543,290.4005
102,2023-07-16,291.9222,290.48676,292.325,290.4669,293.6992
103,2023-08-16,291.77148,289.99792,292.5482,292.64117,291.05316
104,2023-09-16,291.0698,288.722,288.89206,290.4243,289.9969
105,2023-10-16,286.4918,285.86963,287.64545,286.00955,284.9415
106,2023-11-16,283.89825,282.94104,282.7181,282.50467,282.374
107,2023-12-16,282.01465,280.0393,280.6,281.34,280.6881
108,2024-01-16,281.21628,280.2147,278.26788,279.9464,278.64468
109,2024-02-15,279.449,277.7408,281.60104,281.68414,279.87946
110,2024-03-16,280.6814,282.06076,281.0529,280.56604,280.8708
111,2024-04-16,281.67038,282.99667,281.55856,282.78955,281.5339
112,2024-05-16,286.28217,285.44083,286.6012,286.9754,285.8629
113,2024-06-16,289.97723,287.89865,287.6554,289.65106,286.97235
114,2024-07-16,291.6793,293.8132,292.46286,292.51465,290.4753
115,2024-08-16,290.69916,290.30222,291.91858,292.24377,290.7592
116,2024-09-16,290.29324,288.21652,289.31976,288.6271,289.30444
117,2024-10-16,287.73865,286.21695,286.6318,286.74292,286.8536
118,2024-11-16,283.57736,280.92365,283.1687,283.19638,282.6026
119,2024-12-16,281.3172,280.931,282.71252,281.95694,282.2411
120,2025-01-16,280.26553,280.76755,281.3809,280.03494,281.0865
121,2025-02-15,281.83344,278.7759,280.47382,280.0918,278.3625
122,2025-03-16,282.49298,280.8549,281.17178,281.1409,278.99225
123,2025-04-16,283.06125,280.81787,284.1513,285.06943,281.4244
124,2025-05-16,286.00555,284.32074,285.98175,284.53592,285.32245
125,2025-06-16,291.37445,288.37848,288.93008,287.73538,288.56284
126,2025-07-16,293.06442,291.4675,292.37543,290.42502,290.56445
127,2025-08-16,292.00613,292.0049,292.4778,292.94064,290.19965
128,2025-09-16,289.38434,289.82455,289.9155,290.13516,290.1495
129,2025-10-16,286.83524,288.67874,286.408,286.95535,286.9229
130,2025-11-16,283.06165,282.4647,284.90814,284.5588,281.75186
131,2025-12-16,281.6424,282.22833,283.01303,282.2707,279.5739
132,2026-01-16,280.86462,278.64398,280.74042,278.30286,278.74902
133,2026-02-15,281.86078,279.37497,279.90347,280.92215,280.01706
134,2026-03-16,280.8474,282.22327,281.1512,280.6018,281.97937
135,2026-04-16,285.51813,285.18576,285.3047,283.73373,285.30377
136,2026-05-16,286.21698,286.7008,288.26813,284.52908,285.2017
137,2026-06-16,290.56754,288.34262,288.96927,289.11725,290.629
138,2026-07-16,291.60608,290.42023,291.9365,291.64212,292.63074
139,2026-08-16,291.50232,291.7136,294.12457,293.89023,291.7819
140,2026-09-16,289.52808,291.43515,290.70203,292.37384,290.34613
141,2026-10-16,286.6435,286.0159,287.25372,287.50003,287.05545
142,2026-11-16,281.84036,282.52713,283.53116,282.77667,284.03427
143,2026-12-16,281.15854,280.06726,282.26105,281.05713,282.78894
144,2027-01-16,277.80307,278.53317,280.55673,280.91928,280.7334
