,time,r10i1p1f1,r14i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
48,2019-01-16,278.31213,276.7423,277.13727,274.31296,279.1336,280.01114,277.60925,278.3619,279.064,278.31784,278.4284
49,2019-02-15,277.20883,277.43106,277.0815,274.83533,278.65826,278.77444,279.13876,278.8277,278.03345,278.6397,276.5336
50,2019-03-16,276.69684,278.99472,278.8898,278.26157,279.3538,280.20566,279.86508,279.4626,278.0083,276.8803,277.4196
51,2019-04-16,281.10382,281.01904,280.66718,280.25836,280.83517,281.4331,279.7637,283.24194,280.43912,280.6183,279.81766
52,2019-05-16,283.63782,283.59213,284.34012,282.773,282.9023,283.9085,282.23798,284.6804,285.69046,285.06577,283.5548
53,2019-06-16,286.74075,288.42377,290.53204,287.37256,287.3654,288.8592,287.50885,289.29443,289.40262,287.83453,288.1222
54,2019-07-16,290.246,294.04507,293.74744,290.80112,291.44775,291.75244,292.3719,293.03708,293.60217,289.78088,290.64798
55,2019-08-16,292.48785,294.27667,293.1802,293.92438,292.02927,292.48843,292.08255,293.75296,294.7595,293.72217,289.86652
56,2019-09-16,289.54086,292.01785,289.65607,289.5141,289.48886,289.99017,289.9775,290.0749,291.0283,291.37634,288.12317
57,2019-10-16,286.73654,286.7156,285.78766,287.29535,285.7313,284.98737,288.0232,286.0113,288.02545,287.91745,285.11035
58,2019-11-16,281.89224,283.15738,282.235,282.87415,281.69138,281.858,281.26566,283.90878,282.45508,282.56726,283.16162
59,2019-12-16,280.28296,280.60275,279.3415,278.8137,280.15155,280.37717,279.92896,279.74838,281.6002,278.57404,280.45532
60,2020-01-16,278.2139,278.86255,276.95065,277.51596,278.21902,279.60538,278.55942,279.51526,279.41272,278.91467,278.55136
61,2020-02-15,278.9601,278.21997,277.23376,278.4015,279.39392,279.03473,278.64398,278.11322,278.60428,279.88055,277.55045
62,2020-03-16,280.4762,278.99463,277.09143,279.8938,279.41608,279.74304,277.47278,279.00217,279.8171,279.42874,279.6351
63,2020-04-16,282.46323,280.29504,279.2906,281.50958,282.35532,281.10205,282.3565,280.94156,282.6865,280.00723,280.32806
64,2020-05-16,285.93518,286.1345,285.5178,285.01346,284.47043,283.7335,284.36038,284.35272,284.82758,284.01215,284.564
65,2020-06-16,289.23453,291.15915,287.32077,285.78873,288.30817,288.9396,286.9344,289.02634,287.33423,288.80444,286.892
66,2020-07-16,293.97958,291.8067,293.29663,290.87555,289.6558,294.10153,291.4989,292.66772,290.7953,290.3949,291.24008
67,2020-08-16,294.61328,293.19818,292.62195,293.8338,292.74136,293.63293,292.81305,292.23676,295.3672,291.8715,292.65082
68,2020-09-16,291.10297,290.3495,288.41663,292.46796,291.44153,291.59482,291.12967,290.81107,290.1702,288.73157,290.50552
69,2020-10-16,286.30472,286.34714,285.92197,286.84537,287.27457,284.7973,286.42532,286.09286,286.91614,286.23566,286.9775
70,2020-11-16,283.7772,282.3076,281.72903,283.2709,284.22546,283.72128,282.7395,283.44644,283.64447,283.72534,282.61908
71,2020-12-16,281.96637,278.82913,280.72397,279.66336,282.60196,280.43024,280.96368,278.69934,281.4366,280.91354,281.1976
72,2021-01-16,279.23087,278.52493,276.39276,279.93668,279.7274,275.95627,278.315,278.54416,279.3849,278.11185,278.3754
73,2021-02-15,279.25977,278.4722,277.09158,278.23804,280.1157,276.2369,278.45856,277.55588,279.86884,277.6542,280.1998
74,2021-03-16,279.68994,280.44788,279.3716,278.77002,279.73184,279.32004,279.7618,278.01538,277.11038,280.08643,279.90192
75,2021-04-16,282.41916,281.7536,281.39322,280.37094,282.6615,280.84064,280.64285,279.13156,282.11877,281.3354,282.39536
76,2021-05-16,285.79538,284.52124,284.34286,283.9725,283.16928,285.55817,284.37692,284.9635,287.07788,284.54068,284.4502
77,2021-06-16,288.2069,286.29736,290.4743,289.1213,288.08496,288.45337,287.7651,290.35922,288.90692,288.88644,288.48688
78,2021-07-16,293.4176,290.8041,294.66724,290.24792,294.9238,292.24643,289.63757,295.68884,294.47977,292.81824,294.67645
79,2021-08-16,295.8087,294.74313,294.2774,293.00262,293.7317,291.02765,291.08063,293.47244,294.57492,292.23752,292.3697
80,2021-09-16,290.64224,290.23584,292.59262,289.81406,291.45203,289.6805,289.51987,291.24698,293.2875,291.13412,290.94772
81,2021-10-16,286.10757,285.62604,287.253,286.22977,286.96594,287.71057,285.42084,288.304,287.80722,287.35776,286.07526
82,2021-11-16,283.56152,283.3869,283.12238,282.365,283.33936,282.6739,281.42355,282.77615,282.1637,283.3577,283.2847
83,2021-12-16,280.4843,281.71942,279.60275,279.4237,280.28418,278.08713,281.46008,277.66473,278.75177,280.4309,279.0434
84,2022-01-16,279.74207,279.8273,281.3482,278.83908,278.44543,278.78976,280.0734,279.2574,276.47974,277.98315,277.38028
85,2022-02-15,279.44696,278.7353,280.2638,277.82245,277.1245,279.86407,277.31128,280.79922,276.98697,277.65622,279.24777
86,2022-03-16,278.08127,279.013,279.95477,277.44833,279.85114,279.9551,277.73676,280.25067,280.08862,277.78564,279.58868
87,2022-04-16,280.6771,281.65005,281.46475,279.82135,283.55246,282.7183,279.44443,282.57257,280.7196,279.2253,281.2978
88,2022-05-16,282.81503,286.80118,284.4342,286.58655,286.07733,285.26212,283.33838,286.79373,284.56244,282.32446,286.19955
89,2022-06-16,286.8062,289.0856,287.52734,288.23944,287.94302,291.01907,287.357,288.10965,289.80472,287.05176,287.62766
90,2022-07-16,289.81827,291.43185,290.53854,291.77646,294.70627,292.54364,291.43488,292.66595,294.35806,291.80234,291.29227
91,2022-08-16,293.043,292.63678,293.14136,295.61966,293.15198,294.12753,294.56482,293.98587,294.23,293.30975,293.66455
92,2022-09-16,290.49417,289.98877,290.82083,291.949,290.17386,290.7909,289.73022,289.08752,289.6115,290.5095,289.2385
93,2022-10-16,285.85767,287.1459,287.78845,286.781,286.0505,286.28726,286.48547,285.0269,285.35794,287.78198,286.21024
94,2022-11-16,283.04733,283.32742,284.8013,283.34238,281.4875,283.9266,282.91006,282.6195,284.61862,284.29532,282.72125
95,2022-12-16,280.24133,281.87354,279.50415,277.15964,278.61102,280.72568,279.5686,281.0,281.95386,281.78113,279.3002
96,2023-01-16,278.4014,280.48138,279.97958,277.3181,275.74347,276.59558,279.02817,277.8657,279.90854,280.93314,277.47107
97,2023-02-15,278.97928,279.44022,279.85623,278.48816,278.74838,275.95804,279.1364,278.2345,278.6084,279.0521,277.39502
98,2023-03-16,280.55835,277.46844,279.85242,277.456,280.13876,275.84216,279.5973,279.99738,281.41504,280.09973,279.3976
99,2023-04-16,281.1043,278.796,280.32678,278.80246,282.35474,278.8666,281.46457,280.76984,283.64874,283.28162,282.1914
100,2023-05-16,283.51062,285.025,284.5504,283.90244,286.81332,283.92236,285.16254,285.55045,284.69153,283.00668,284.98087
101,2023-06-16,288.05923,288.45963,287.92938,287.68094,289.77576,290.2552,289.72333,288.72113,289.32306,287.9908,287.43365
102,2023-07-16,292.3101,290.4167,292.07877,291.28217,292.47583,290.8714,293.59924,293.12207,293.4363,292.8348,292.2726
103,2023-08-16,294.09003,291.86212,291.57025,290.86752,292.64404,292.87045,294.89822,293.85303,292.9896,293.5404,294.4756
104,2023-09-16,290.27264,289.2524,291.6069,290.62695,290.99478,288.70096,292.51062,289.93164,291.4636,290.3101,289.80222
105,2023-10-16,286.76,285.32755,287.7072,286.66116,286.10458,284.98117,287.09958,285.27,286.29147,285.23904,287.93185
106,2023-11-16,282.3853,283.4213,281.7698,279.1766,284.17038,283.49573,284.11984,283.0987,284.20792,283.58148,283.1122
107,2023-12-16,281.26352,280.73785,278.57486,278.55807,280.64594,277.67978,281.20123,279.8119,280.08664,280.44107,278.3989
108,2024-01-16,279.14435,279.27283,279.1971,275.53995,277.368,277.97876,278.46545,276.32294,276.0483,278.72986,277.71173
109,2024-02-15,278.4993,276.90738,279.97186,278.76123,279.1028,275.07843,279.46146,275.0846,277.24414,276.699,279.35828
110,2024-03-16,278.6014,277.35535,281.28992,279.5939,279.48077,278.5249,280.38004,280.2322,278.71597,277.51282,280.13223
111,2024-04-16,281.5967,280.76443,280.23672,280.28537,280.87845,281.4488,279.99475,281.52975,281.42978,280.6973,280.6173
