,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
93,2022-10-16,285.3546,283.07272,283.68826,283.6376,284.05383
94,2022-11-16,281.88736,281.91907,283.1977,281.2448,281.48315
95,2022-12-16,277.37897,277.96857,281.9075,277.50323,279.66513
96,2023-01-16,277.59256,278.02835,280.0581,276.362,277.28647
97,2023-02-15,277.9893,278.41107,278.76547,276.10278,277.51147
98,2023-03-16,278.91736,278.04486,279.80258,278.34808,278.03967
99,2023-04-16,282.74323,280.49573,282.22275,280.04797,281.27365
100,2023-05-16,284.05295,283.85074,285.38766,285.2804,285.54318
101,2023-06-16,286.31903,287.8295,287.5187,287.5159,286.6159
102,2023-07-16,290.1083,289.31464,291.61893,290.87088,291.3205
103,2023-08-16,289.8404,290.81015,291.78473,290.24655,290.95663
104,2023-09-16,287.25644,287.16333,287.9454,288.9396,287.71423
105,2023-10-16,284.39786,285.35645,283.76,283.66058,285.06866
106,2023-11-16,282.38745,283.2885,279.89682,281.05017,281.74448
107,2023-12-16,280.5246,278.3232,280.61526,278.20236,278.26886
108,2024-01-16,274.3085,276.6391,279.6166,278.36768,275.9016
109,2024-02-15,276.74234,276.72916,277.2517,280.3017,274.96344
110,2024-03-16,279.30865,279.32596,276.25775,279.9736,277.46384
111,2024-04-16,282.8761,282.48282,282.5907,281.09796,281.08655
112,2024-05-16,285.03732,284.9573,283.88437,286.93146,284.43845
113,2024-06-16,289.25558,287.43866,286.3455,288.07385,285.24155
114,2024-07-16,291.257,290.74905,289.54584,289.14825,289.1373
115,2024-08-16,292.1745,290.97025,290.09494,291.38907,289.8262
116,2024-09-16,288.21844,288.4731,287.13913,288.07474,287.77393
117,2024-10-16,284.99823,286.24017,284.12985,284.47955,284.9678
118,2024-11-16,282.54337,279.39587,281.767,280.6976,282.07962
119,2024-12-16,279.01248,278.045,278.0204,275.81284,277.67642
120,2025-01-16,275.77347,275.7704,276.1732,274.45712,278.7618
121,2025-02-15,277.87628,276.59808,271.26,273.53903,277.92227
122,2025-03-16,278.97324,278.5994,278.12347,279.1157,280.52118
123,2025-04-16,282.62646,280.1619,281.26053,283.10956,282.5001
124,2025-05-16,284.57635,284.05975,284.97824,283.6253,285.93002
125,2025-06-16,287.5112,288.1502,289.2992,287.5565,288.7518
126,2025-07-16,289.92526,290.85156,290.94113,291.5032,291.41766
127,2025-08-16,290.36038,291.70807,291.62686,290.3412,290.12436
128,2025-09-16,289.27072,286.6726,287.2329,289.1666,288.20383
129,2025-10-16,285.4422,284.1568,284.19308,283.96457,284.5949
130,2025-11-16,283.52548,282.34457,280.2289,279.5148,280.41885
131,2025-12-16,279.86673,276.14328,274.58447,277.30875,277.3856
132,2026-01-16,279.64084,278.8494,273.09995,276.65402,278.01883
133,2026-02-15,278.92493,276.1132,275.43204,277.4648,278.9234
134,2026-03-16,280.54526,275.78442,278.5121,277.40475,277.56116
135,2026-04-16,282.63687,281.00577,281.46823,279.04562,280.15952
136,2026-05-16,285.30466,283.88297,283.94766,285.57764,284.0774
137,2026-06-16,287.6271,286.17102,287.72287,287.90967,286.86136
138,2026-07-16,290.46515,290.48062,292.14246,290.5373,292.2674
139,2026-08-16,290.83328,288.78152,291.7527,290.0941,291.96832
140,2026-09-16,288.24927,286.85883,288.26877,286.66495,289.24384
141,2026-10-16,286.0069,282.4137,284.73047,284.51993,284.79385
142,2026-11-16,282.53656,281.53192,281.67334,280.1689,282.30527
143,2026-12-16,277.31906,279.0519,279.6869,278.35245,280.27005
144,2027-01-16,278.14127,278.87784,278.73425,275.53308,279.106
145,2027-02-15,279.17508,277.95892,278.3481,275.68207,279.1724
146,2027-03-16,278.13644,279.3468,279.6982,275.7534,280.5824
147,2027-04-16,281.03625,282.13144,282.33447,281.0,282.52435
148,2027-05-16,285.06528,284.18475,284.28815,284.66455,286.1489
149,2027-06-16,287.95154,286.7952,287.0409,287.42538,288.87195
150,2027-07-16,289.14026,289.8678,290.37186,290.126,289.63736
151,2027-08-16,289.80765,291.03665,291.23328,290.4726,289.90826
152,2027-09-16,287.43954,292.09143,287.93384,288.47205,287.229
153,2027-10-16,284.30087,285.20145,285.64703,283.05807,286.1022
154,2027-11-16,281.23544,281.80807,279.60303,280.86328,281.94727
155,2027-12-16,278.8701,280.37387,278.7179,277.63828,279.9619
156,2028-01-16,279.2657,278.94217,278.07065,278.026,276.66644
157,2028-02-15,278.03253,280.25882,276.55997,277.23712,274.90115
158,2028-03-16,279.19135,279.17233,279.22397,278.16632,278.42874
159,2028-04-16,281.4287,281.54004,283.15106,281.73068,280.5085
160,2028-05-16,285.60715,284.08078,284.20477,284.5058,283.9432
161,2028-06-16,289.6345,286.10422,288.51746,286.41043,288.03738
162,2028-07-16,292.65942,290.1168,292.51495,289.29874,291.11206
163,2028-08-16,290.82526,289.84564,292.35587,290.5692,290.47794
164,2028-09-16,288.931,288.30652,287.86115,286.6991,286.9249
165,2028-10-16,285.0952,285.0561,285.2843,283.6002,283.9465
166,2028-11-16,282.92322,281.11838,281.9614,279.7972,281.82523
167,2028-12-16,280.56985,278.2965,279.52875,278.58194,279.6603
168,2029-01-16,279.497,278.7888,279.39703,279.04807,278.268
