,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
132,2026-01-16,282.20056,278.65234,278.00552
133,2026-02-16,280.12228,279.96515,278.56625
134,2026-03-16,279.35107,281.10483,276.7124
135,2026-04-16,281.4314,283.24417,280.54413
136,2026-05-16,286.46143,285.5181,283.70837
137,2026-06-16,288.2052,290.71317,289.63242
138,2026-07-16,289.65396,291.12866,290.88333
139,2026-08-16,291.91376,292.38904,291.82413
140,2026-09-16,289.546,289.80554,289.5072
141,2026-10-16,286.71042,285.31314,284.8039
142,2026-11-16,281.82123,281.15396,283.26266
143,2026-12-16,281.1408,280.71417,279.56494
144,2027-01-16,279.02518,276.79465,278.7788
145,2027-02-16,279.11322,279.62863,278.4643
146,2027-03-16,281.4919,280.4244,279.0934
147,2027-04-16,281.3313,282.01755,281.69727
148,2027-05-16,285.64908,283.15994,285.2782
149,2027-06-16,289.2475,290.16443,288.40485
150,2027-07-16,291.1452,290.36505,291.4633
151,2027-08-16,290.11398,291.69165,291.35083
152,2027-09-16,289.17896,289.9578,290.63943
153,2027-10-16,287.84238,288.03415,287.26175
154,2027-11-16,282.02475,283.2601,283.72208
155,2027-12-16,281.01724,278.6964,277.36774
156,2028-01-16,279.83163,278.1949,281.20624
157,2028-02-16,281.24197,279.77322,279.1013
158,2028-03-16,280.7711,279.69366,278.92645
159,2028-04-16,284.34665,282.70218,281.73236
160,2028-05-16,288.04202,286.59845,288.02557
161,2028-06-16,290.54272,289.5307,288.6205
162,2028-07-16,292.8768,294.0735,290.259
163,2028-08-16,292.15216,292.01083,292.82693
164,2028-09-16,290.20523,291.15512,289.91855
165,2028-10-16,286.0772,285.88126,286.2487
166,2028-11-16,282.41077,282.0083,282.32486
167,2028-12-16,281.91678,280.7069,280.68
168,2029-01-16,277.76544,278.90976,279.9926
169,2029-02-16,277.0351,277.64917,281.23022
170,2029-03-16,281.83835,283.14993,280.8595
171,2029-04-16,280.88403,280.7065,282.77087
172,2029-05-16,283.9456,284.28113,284.1122
173,2029-06-16,290.171,289.3925,287.26288
174,2029-07-16,290.02472,289.90323,292.5141
175,2029-08-16,290.9227,291.10632,291.71573
176,2029-09-16,290.60614,286.9067,288.16846
177,2029-10-16,287.58078,284.04916,287.51624
178,2029-11-16,283.5108,282.3159,284.36328
179,2029-12-16,281.9193,279.60278,282.00055
180,2030-01-16,279.29184,279.5666,278.88098
181,2030-02-16,280.8816,277.20395,277.8597
182,2030-03-16,279.27774,278.1911,277.84586
183,2030-04-16,281.37808,281.08798,281.78183
184,2030-05-16,285.43036,284.4033,284.94516
185,2030-06-16,289.45276,288.33148,288.30573
186,2030-07-16,292.23233,290.01846,292.4822
187,2030-08-16,291.976,290.5318,291.22437
188,2030-09-16,291.42535,290.19934,291.41736
189,2030-10-16,285.56952,286.34772,286.8076
