,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r9i1p1f2
17,2016-06-16,289.1724993939002,289.0074913453465,289.0194243774384,289.2273065945896,289.21312904663574,289.4949757352112,289.117836439461,289.17980313783625,289.16295079969154,289.1789300437365,289.2390166431182,289.2532963004854,289.1908975170439,288.9064662022192,289.533029217568,289.25537902964845
18,2016-07-16,289.7777675903144,289.60133339537475,289.4986726713821,289.6048965459965,289.74798111664927,289.860704496584,289.4790414074917,289.6545464124174,289.5554078972593,289.765867270431,289.87693957918,289.81578152555,289.65999143959294,289.49385376605983,290.0249091392367,289.9062564547463
19,2016-08-16,289.62072606576174,289.5616388696912,289.5472367280581,289.76344186437444,289.6909248775213,289.7815618030842,289.5053291757762,289.7153823781672,289.50105920651407,289.7021782194551,289.6544364113871,289.6313218059533,289.7036748648462,289.3794201337247,289.9034167084476,289.90850633782026
20,2016-09-16,289.0311589318678,288.96925537431576,288.8371408550724,288.97406529852077,289.0433824473811,289.23671937256603,288.886558159188,289.05622578038646,288.91924078225617,289.0146412408089,288.97735964480506,289.0159104434996,288.97789189356536,288.6688612781454,289.2928454025012,289.1465318065835
21,2016-10-16,287.931253304936,287.88290317888914,287.87032482196713,287.88927277169796,288.0661616324102,288.1853094560066,287.9039725093858,287.9243845613954,287.8738461188516,288.01086055484427,288.0344533991132,288.21152824087363,288.0018456906868,287.78130833963615,288.18879018193104,288.1821150665922
22,2016-11-16,286.6898816213012,286.84441818345726,286.86538704937556,286.6867044271947,286.8337123043256,286.93975684360043,286.6514252937318,286.76618667554806,286.657798891536,286.7785149062996,286.77006973841037,286.80238764698726,286.8318882612804,286.7392110912741,286.93313773141233,286.94923463357634
23,2016-12-16,286.00609955520855,285.90807154387716,285.8378524587356,285.78237407808575,285.8461427347538,285.84446782787796,285.5672972820328,285.95445532127286,285.84173325530253,285.7848506875016,285.797681441316,286.0605439556344,285.8999874465168,285.9418426652719,286.21512314437285,285.9223326385647
24,2017-01-16,285.4851568992654,285.2618920707591,285.47196157957404,285.30510124240897,285.57500854871154,285.38058316839096,285.2532817026867,285.4661636874927,285.5745394225282,285.34853433999405,285.5406398410807,285.6168486484742,285.3582885070735,285.3637351727055,285.64589518232316,285.7053363523702
25,2017-02-16,285.62916580486007,285.3503196489886,285.52907755481755,285.7100140481784,285.83299714979745,285.67550967507555,285.36462054650826,285.69733863108274,285.64485892617876,285.610864302738,285.8432701450332,285.64166603289976,285.70248726213003,285.80047187762347,286.08637402995083,285.8395688892875
26,2017-03-16,286.34687874961475,286.3229691115297,286.3759037217433,286.35018156136795,286.39734295280954,286.3682211878675,286.1129430966687,286.74512679901375,286.40119151599214,286.3488455985527,286.68785828452127,286.58292509129103,286.7676961584559,286.32567088874293,286.69324357044064,286.59150620851204
