,x,mu,std
0,-1.7318135565839181,-0.8451458646010402,0.4600062461488732
1,-1.7313390221116387,-0.8603941035697534,0.4597531807548648
2,-1.7308644876393593,-0.8756093001573004,0.45949673876397856
3,-1.7303899531670797,-0.8907469132184727,0.45923641564155343
4,-1.7299154186948003,-0.9057551081208769,0.45897167465879773
5,-1.7294408842225208,-0.9205687155909154,0.4587017337484072
6,-1.7289663497502414,-0.9351332922492906,0.45842566979925786
7,-1.7284918152779618,-0.9493990522760025,0.4581424475594406
8,-1.7280172808056824,-0.9633142632541658,0.45785088607321023
9,-1.727542746333403,-0.9768263732213543,0.4575498578732018
10,-1.7270682118611236,-0.9898828826798952,0.4572383195860704
11,-1.726593677388844,-1.0024313792029766,0.4569153214329427
12,-1.7261191429165645,-1.0144195731151873,0.45658001354433575
13,-1.7256446084442851,-1.0257953345512496,0.4562316491020441
14,-1.7251700739720057,-1.036506732305447,0.4558695843446139
15,-1.724695539499726,-1.046503213079667,0.4554932621641796
16,-1.7242210050274467,-1.055742652246842,0.45510212224557645
17,-1.7237464705551673,-1.064186799262318,0.45469564568013293
18,-1.7232719360828876,-1.07180420712811,0.45427336909877636
19,-1.7227974016106082,-1.0786008274358199,0.45383476870608636
20,-1.7223228671383288,-1.084596268971182,0.45337935630537335
21,-1.7218483326660494,-1.0898106112518922,0.45290673209113896
22,-1.7213737981937698,-1.0942638074683153,0.4524165019921091
23,-1.7208992637214904,-1.0979762826015644,0.45190817480642276
24,-1.720424729249211,-1.1009693070565327,0.4513813450095798
25,-1.7199501947769316,-1.1032648946774049,0.4508357386391946
26,-1.719475660304652,-1.1048859350012592,0.45027123398127494
27,-1.7190011258323725,-1.105856363965061,0.449687885867978
28,-1.7185265913600931,-1.1062013819124974,0.44908595545419505
29,-1.7180520568878137,-1.105947382033975,0.4484659451689729
30,-1.717577522415534,-1.1051183286566617,0.4478285852843629
31,-1.7171029879432547,-1.1037558612693599,0.44717479745578703
32,-1.7166284534709753,-1.1019260759299654,0.4465058269732142
33,-1.7161539189986956,-1.0997016834995765,0.4458234551465657
34,-1.7156793845264162,-1.097147925044789,0.44513014945206186
35,-1.7152048500541368,-1.0943375593096396,0.44442923985436567
36,-1.7147303155818574,-1.0913591492374166,0.4437250874995284
37,-1.7142557811095778,-1.0883018670592184,0.44302329724858547
38,-1.7137812466372984,-1.0852577378402002,0.4423309646342913
39,-1.713306712165019,-1.0823267160218832,0.4416568737167942
40,-1.7128321776927395,-1.0796152163486672,0.44101155527491764
41,-1.71235764322046,-1.0772206103824635,0.44040716187846674
42,-1.7118831087481805,-1.0752359071461441,0.4398571611793444
43,-1.711408574275901,-1.0737466071493036,0.4393757449491554
44,-1.7109340398036217,-1.0728223557675298,0.43897693531983906
45,-1.710459505331342,-1.0725243799398751,0.4386734751085643
46,-1.7099849708590626,-1.0729006668884677,0.438475592984037
47,-1.7095104363867832,-1.0739806351425445,0.4383898732068094
48,-1.7090359019145036,-1.0757683994148959,0.43841797808880895
49,-1.7085613674422242,-1.0782342400082972,0.4385552345044886
50,-1.7080868329699448,-1.081324284367708,0.4387923716086644
51,-1.7076122984976654,-1.0849666535433091,0.4391167931787508
52,-1.7071377640253858,-1.0890769260946271,0.43951378500983235
53,-1.7066632295531063,-1.093564035563317,0.43996777325271713
54,-1.706188695080827,-1.098335532856021,0.4404634282490245
55,-1.7057141606085475,-1.1032983393673308,0.4409864600037536
56,-1.705239626136268,-1.108361230253112,0.44152412725874485
57,-1.7047650916639885,-1.1134493600516724,0.4420654797526835
58,-1.704290557191709,-1.118512015346625,0.4426013557333171
59,-1.7038160227194297,-1.1235057619924005,0.44312430433232847
60,-1.70334148824715,-1.1283912076119522,0.4436283974627658
61,-1.7028669537748706,-1.1331353485413571,0.44410906449431903
62,-1.7023924193025912,-1.1377109220533632,0.4445628843497985
